         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	     m_CO3-2	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	   si_CO2(g)	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	          11	         -99	         -99	         -99	     11.6309	           4	      31.400	    0.012988	  0.00991624	  8.7755e-18	 4.93462e-14	  6.8090e-03	  1.2600e-05	  2.4519e-06	  1.0597e-03	  1.8627e-05	  7.2227e-05	  0.0000e+00	  0.0000e+00	  5.6558e-05	  0.0000e+00	  1.3735e-03	  6.7918e-06	  1.9371e-07	  8.3715e-10	  6.1343e-05	  1.2274e-07	  2.2884e-07	  2.7315e-07	  2.2509e-07	  2.5142e-06	  7.2952e-03	  0.0000e+00	  0.0000e+00	    -10.5313	      0.3789	      0.3235	      5.4051	      3.1910	     -5.8663	      0.9446	      4.8100	      0.5521	     -5.6053	   -999.9990	    3WBRS2  	  0.0000e+00	  4.2040e-01	  6.5005e-04	
           2	      i_soln	          12	         -99	         -99	         -99	     11.7521	           4	      29.700	  0.00995639	   0.0118553	-1.57799e-17	-8.27767e-14	  4.8512e-03	  8.8440e-06	  1.2301e-08	  2.4863e-03	  2.2871e-05	  2.6896e-04	  5.2824e-06	  0.0000e+00	  5.7280e-05	  5.5222e-05	  1.5956e-04	  2.5546e-06	  4.2737e-08	  8.3715e-10	  7.8323e-07	  7.5634e-08	  1.8846e-07	  3.3269e-07	  4.1988e-10	  3.7297e-04	  8.6139e-03	  0.0000e+00	  0.0000e+00	    -12.7402	     -1.7198	     -0.6619	      3.3281	      3.2423	     -3.6092	     -0.0477	     -1.5517	     -0.4430	     -6.8029	   -999.9990	    3WBRG3  	  0.0000e+00	  4.1832e-01	  4.9832e-04	
           2	      i_soln	          13	         -99	         -99	         -99	     11.5318	           4	      29.900	  0.00938136	  0.00728418	-8.02966e-17	-6.09752e-13	  5.2556e-03	  9.8004e-06	  1.2300e-08	  7.0552e-04	  1.7889e-05	  5.1177e-05	  0.0000e+00	  0.0000e+00	  5.4856e-05	  0.0000e+00	  9.3861e-04	  5.3798e-06	  5.6896e-08	  8.7808e-08	  2.6309e-06	  1.5021e-06	  8.0793e-07	  1.4747e-07	  1.2219e-07	  4.1624e-04	  5.1464e-03	  0.0000e+00	  0.0000e+00	    -11.7576	     -0.9563	      0.3286	      4.0891	      4.1322	     -1.0857	      0.9436	      0.9526	      0.5486	     -2.8084	   -999.9990	      4WBR2 	  0.0000e+00	  3.3167e-01	  4.6954e-04	
           2	      i_soln	          14	         -99	         -99	         -99	     11.4811	           4	      29.300	  0.00883928	  0.00624271	-2.98198e-17	-2.55006e-13	  5.0423e-03	  2.7960e-05	  6.7694e-06	  3.9356e-04	  2.0537e-05	  5.7863e-05	  0.0000e+00	  4.3035e-05	  5.6969e-05	  0.0000e+00	  9.4156e-04	  4.8967e-06	  3.6723e-07	  3.1095e-07	  3.1431e-04	  4.9391e-07	  6.4426e-07	  3.1717e-07	  2.3229e-07	  5.4776e-05	  4.3582e-03	  0.0000e+00	  0.0000e+00	     -9.6017	      1.1450	      0.4098	      6.1981	      4.2235	     -2.5406	      1.0223	      7.3268	      0.6263	     -3.4575	   -999.9990	     4WBRA2 	  0.0000e+00	  3.1605e-01	  4.4241e-04	
           2	      i_soln	          15	         -99	         -99	         -99	     11.5081	           4	      30.700	  0.00953367	  0.00727307	-2.13113e-16	-1.61031e-12	  5.3600e-03	  9.6725e-06	  1.2300e-08	  6.6384e-04	  1.5578e-05	  5.1149e-05	  0.0000e+00	  0.0000e+00	  5.4985e-05	  0.0000e+00	  9.6382e-04	  4.1644e-06	  1.0712e-07	  8.3711e-10	  6.0786e-05	  4.3788e-07	  3.2305e-07	  1.4212e-07	  1.3004e-07	  3.5131e-04	  5.1609e-03	  0.0000e+00	  0.0000e+00	    -10.3139	      0.4690	      0.3288	      5.5041	      2.8038	     -1.2324	      0.9470	      5.2257	      0.5534	     -3.7275	   -999.9990	    4WBRS1  	  0.0000e+00	  3.3590e-01	  4.7716e-04	
           2	      i_soln	          16	         -99	         -99	         -99	     11.5758	           4	      28.100	   0.0071378	  0.00717979	-1.60963e-17	-1.37989e-13	  3.1328e-03	  6.4310e-06	  1.2300e-08	  1.4736e-03	  1.4461e-05	  4.3022e-05	  0.0000e+00	  0.0000e+00	  5.4604e-05	  8.5732e-05	  3.8514e-04	  1.9565e-06	  3.2125e-10	  1.1981e-07	  5.6664e-10	  1.4889e-06	  9.9099e-07	  2.8216e-07	  4.1984e-10	  2.6805e-04	  4.9951e-03	  0.0000e+00	  0.0000e+00	    -15.5864	     -4.7529	     -0.0222	      0.3157	      4.0757	     -2.1016	      0.5853	    -10.4216	      0.1873	     -3.0996	   -999.9990	    4WBRG2  	  0.0000e+00	  2.7445e-01	  3.5725e-04	
           2	      i_soln	          17	         -99	         -99	         -99	     11.4299	           4	      30.400	  0.00789356	  0.00588572	 -1.1727e-17	-1.07868e-13	  4.5898e-03	  8.8792e-06	  1.2300e-08	  4.4995e-04	  2.0516e-05	  4.5279e-05	  0.0000e+00	  4.0756e-05	  0.0000e+00	  0.0000e+00	  8.2923e-04	  4.6100e-06	  4.6166e-08	  8.3709e-10	  8.7612e-06	  6.1321e-08	  1.5115e-07	  1.1294e-07	  2.1720e-07	  3.4464e-04	  4.1835e-03	  0.0000e+00	  0.0000e+00	    -11.0085	     -0.3058	      0.3584	      4.7332	      2.5681	     -0.9908	      0.9754	      2.9895	      0.5813	     -4.9427	   -999.9990	      5WBR2 	  0.0000e+00	  2.7763e-01	  3.9507e-04	
           2	      i_soln	          18	         -99	         -99	         -99	     11.3814	           4	      30.200	  0.00770382	  0.00549589	 3.13401e-18	 3.07573e-14	  4.2413e-03	  7.1627e-05	  4.3332e-06	  4.0004e-04	  2.2727e-05	  5.0216e-05	  0.0000e+00	  4.1044e-05	  5.5640e-05	  0.0000e+00	  7.9920e-04	  3.5517e-06	  3.6489e-07	  3.0949e-07	  3.4600e-04	  1.5336e-07	  1.8599e-06	  2.8518e-07	  1.5405e-07	  1.1222e-04	  3.6791e-03	  0.0000e+00	  0.0000e+00	     -9.3229	      1.3301	      0.4007	      6.3716	      4.0930	     -1.7627	      1.0169	      7.9520	      0.6225	     -3.8514	   -999.9990	     5WBRA2 	  0.0000e+00	  2.8734e-01	  3.8558e-04	
           2	      i_soln	          19	         -99	         -99	         -99	      11.428	           4	      30.900	  0.00859599	  0.00600953	  1.3773e-17	 1.21904e-13	  4.9291e-03	  7.4415e-06	  1.7929e-06	  3.6460e-04	  2.5786e-05	  5.1373e-05	  0.0000e+00	  4.2421e-05	  5.5469e-05	  0.0000e+00	  9.9233e-04	  2.9608e-06	  1.2626e-07	  8.3709e-10	  1.2085e-04	  7.0197e-08	  3.1646e-07	  1.5966e-07	  1.1818e-07	  4.2122e-05	  4.3208e-03	  0.0000e+00	  0.0000e+00	     -9.8450	      0.8592	      0.4160	      5.8917	      2.6289	     -2.7358	      1.0351	      6.4698	      0.6418	     -4.8109	   -999.9990	    5WBRS2  	  0.0000e+00	  2.8815e-01	  4.3023e-04	
           2	      i_soln	          20	         -99	         -99	         -99	     11.5168	           4	      30.300	  0.00752993	    0.007546	-1.41686e-17	-1.20563e-13	  2.4789e-03	  5.5637e-06	  1.2300e-08	  1.8537e-03	  2.6254e-05	  4.1470e-05	  0.0000e+00	  0.0000e+00	  5.6746e-05	  1.2706e-04	  4.8670e-04	  1.4493e-06	  3.2125e-10	  8.3707e-10	  5.6663e-10	  7.6098e-08	  1.2045e-07	  2.1703e-07	  4.1984e-10	  1.1488e-05	  5.1243e-03	  0.0000e+00	  0.0000e+00	    -15.3788	     -4.5898	      0.0405	      0.4504	      2.7630	     -4.7031	      0.6571	     -9.9462	      0.2628	     -5.3095	   -999.9990	    5WBRG2  	  0.0000e+00	  2.6694e-01	  3.7687e-04	
